Timestamp,Gender,Age,USCitizen,Boarding,NewsSource,HKProtests,BTaylor,Explosion,SCNomination
9/30/2020 9:13:43,Male,17,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",2,4,3,1
9/30/2020 9:13:53,Male,15,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",0,2,0,0
9/30/2020 9:13:54,Female,17,Yes,Day,"News apps (Apple news, AP news etc.)",2,3,1,3
9/30/2020 9:14:03,Female,16,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,5,4,4
9/30/2020 9:14:06,Male,15,No,Boarding,Websites,2,3,3,4
9/30/2020 9:14:11,Female,16,Yes,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,4,3,4
9/30/2020 9:14:20,Female,17,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",0,4,3,4
9/30/2020 9:14:23,Male,17,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,0,3,3
9/30/2020 9:14:26,Male,17,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",0,3,2,3
9/30/2020 9:14:26,Female,17,Yes,Boarding,"News apps (Apple news, AP news etc.)",3,5,4,5
9/30/2020 9:14:31,Male,16,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,2,4,4
9/30/2020 9:14:34,Female,17,No,Boarding,"News apps (Apple news, AP news etc.)",2,4,5,4
9/30/2020 9:14:39,Female,18,No,Boarding,"News apps (Apple news, AP news etc.)",2,0,0,3
9/30/2020 9:14:49,Female,15,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",0,3,0,0
9/30/2020 9:14:53,Female,18,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,4,3,2
9/30/2020 9:14:56,Female,16,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,4,2,4
9/30/2020 9:15:02,Male,17,Yes,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",3,4,1,3
9/30/2020 9:15:13,Female,17,Yes,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,5,2,5
9/30/2020 9:15:51,Male,17,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",1,5,5,2
9/30/2020 9:15:54,Male,17,Yes,Day,Websites,0,4,0,5
9/30/2020 9:16:24,Male,16,No,Day,"Word of mouth (Friends, Family, Teacher)",0,0,3,1
9/30/2020 9:16:45,Female,17,Yes,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",2,5,3,5
9/30/2020 9:16:53,Female,16,Yes,Day,"TV news outlets (Fox, CNN, BBC etc.)",2,4,4,5
9/30/2020 9:17:29,Male,14,No,Boarding,"TV news outlets (Fox, CNN, BBC etc.)",3,5,5,3
9/30/2020 9:18:09,Female,14,Yes,Day,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",2,3,2,2
9/30/2020 9:18:47,Male,16,No,Boarding,"Social media (Instagram, Snapchat, TikTok, Twitter, Facebook)",2,4,3,2
9/30/2020 9:19:34,Female,17,Yes,Day,"Word of mouth (Friends, Family, Teacher)",0,0,0,1
