DATAFLOW,freq,ipc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,1980,1,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,1983,1,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,1984,2,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,1987,4,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,1988,3,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,1989,1,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,1992,4,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,1993,3,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,1995,2,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,1996,2,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,1997,5,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,1998,1,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,1999,2.5,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,2000,2,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,2001,11.37,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,2002,3.33,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,2003,2.13,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,2004,4,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,2005,3.5,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,2006,5,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,2007,1.33,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,2008,4,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,2009,9,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,2010,5.2,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,2011,9.5,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,2012,6,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AT,2013,4.67,p
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AU,1981,6,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AU,1983,2,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AU,1984,2,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AU,1985,2,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AU,1987,2,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AU,1989,1,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AU,1990,2,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AU,1993,2,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AU,1994,2,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AU,1996,3,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AU,1998,2.75,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AU,1999,4.6,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AU,2000,4,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AU,2001,4,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AU,2002,2,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AU,2003,2,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AU,2004,1.61,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AU,2005,2.89,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AU,2006,1.36,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AU,2007,3.32,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AU,2008,4,
ESTAT:PAT_EP_NTEC(1.0),A,AVI,NR,AU,2009,5,
