freq,ipc,unit,geo\TIME_PERIOD	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 
A,AVI,NR,AT	1 	: 	: 	1 	2 	: 	: 	4 	3 	1 	: 	: 	4 	3 	: 	2 	2 	5 	1 	2.5 	2 	11.37 	3.33 	2.13 	4 	3.5 	5 	1.33 	4 	9 	5.2 	9.5 	6 	4.67 p
A,AVI,NR,AU	: 	6 	: 	2 	2 	2 	: 	2 	: 	1 	2 	: 	: 	2 	2 	: 	3 	: 	2.75 	4.6 	4 	4 	2 	2 	1.61 	2.89 	1.36 	3.32 	4 	5 	1.3 	5 	5.37 	2.5 p
A,AVI,NR,BE	: 	: 	: 	1 	1 	: 	1 	1 	: 	: 	1 	1 	: 	1 	: 	3 	6.67 	2 	0.5 	2.5 	6 	4.7 	6.5 	5 	2.5 	6 	6.75 	5.25 	3 	2 	4.5 	0.9 	3 	4.33 p
A,AVI,NR,BG	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.5 	: 
A,AVI,NR,BR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	0.75 	: 	1 	: 	: 	0.25 	: 	: 	1 	1 	: 	3 	5 	11 	1.6 	3 	8 	3 	7.28 p
A,AVI,NR,CA	: 	1 	2 	: 	: 	4 	1 	: 	: 	1.5 	4.33 	4 	2.25 	6.25 	4 	5.5 	3.08 	4 	5.5 	11 	8 	4 	8.67 	5.4 	16.11 	4.33 	11.5 	14.3 	16.4 	13.65 	11.5 	9.21 	17.96 	30.75 p
A,AVI,NR,CH	1 	4 	: 	: 	1 	3 	5 	6.5 	8 	3 	3 	1 	3 	1 	3 	4.14 	4 	3 	15.83 	8 	8 	5.5 	4.5 	7.75 	5.58 	6.33 	7.17 	6.44 	3.33 	14.62 	5.54 	3 	4.91 	9.33 p
A,AVI,NR,CN_X_HK	: 	: 	: 	: 	: 	: 	: 	0.33 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	3.57 	: 	: 	: 	2 	2.33 	1 	3.5 	1.5 	4 	5.33 	10.5 	5 	20 p
A,AVI,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,AVI,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	1 	: 	1 	1 	: 	: 	: 	: 	: 	1 	: 	: 	2 	: 
